"model","ic_id","time","x1","x2","x3","x4","x5","x6","x7"
"Glycolysis",58,0,0.00771952850856984,0.0746315217183139,0.036603662735378,0.00285190858351015,0.226897703178567,0.125789917921969,0.0442111133115265
"Glycolysis",123,0,0.218924093965446,0.206001969133055,0.0861474761032977,0.125696434651498,0.148229765202851,0.0304670763795361,0.0931166491409885
"Glycolysis",301,0,0.033884815122748,0.20332480406794,0.185908958922982,0.239300703369374,0.0183800817863431,0.0640616781752865,0.199128489044175
"Glycolysis",206,0,0.0327009429030788,0.0950778735927988,0.10767340759405,0.239770875736957,0.223457339999723,0.148290872861403,0.148827744138586
"Glycolysis",75,0,0.0608319425346279,0.0337437217881916,0.125348158506751,0.110960522810486,0.237220240921124,0.0295832395025675,0.0344139067745386
"Glycolysis",3,0,0.126251411414366,0.103160310890238,0.0978372650369286,0.0819202577133928,0.0519318611544109,0.022179580617849,0.189655044447138
"Glycolysis",295,0,0.00941474015649746,0.0520647454658323,0.151075281191487,0.244165859597963,0.0311255875913258,0.0225833629255564,0.0948229051642878
"Glycolysis",33,0,0.036903662513212,0.16064419143651,0.159270104864341,0.235403548536478,0.0845357833931859,0.113691875693777,0.104112796108799
"Glycolysis",219,0,0.17016842068398,0.234793492912918,0.164804574536319,0.245381378960967,0.0893613062741432,0.104655861900986,0.179216254759952
"Glycolysis",107,0,0.0571564161923916,0.115680973804188,0.0993270509304151,0.0449970347556643,0.0673326437990772,0.0585599835360366,0.171880263942
"Glycolysis",138,0,0.132680027700089,0.0374754316556673,0.225450568349478,0.23573947919053,0.0761937239666069,0.219908305547935,0.0841436373161095
"Glycolysis",360,0,0.160500471307682,0.211738927343872,0.18855618075694,0.0543525546369809,0.229368474961888,0.0908260008341069,0.219371477227989
"Glycolysis",227,0,0.0359768970960374,0.131305691242533,0.110208115286828,0.0543038618526281,0.0390852040958137,0.0431991538571405,0.232962788029043
"Glycolysis",46,0,0.0562110357398723,0.00385427896988064,0.0050224146383012,0.160169534403278,0.144968568450468,0.0669669494262227,0.135229360469276
