"model","ic_id","time","x1","x2","x3"
"Lorenz","ICSpp",0,0.35,0.2,0.4
"Lorenz","ICSpp",0.1,0.621631151747432,1.29289175989727,0.335401357818685
"Lorenz","ICSpp",0.2,1.9550555378747,4.23643773689547,0.551515018532278
"Lorenz","ICSpp",0.3,6.19636460425797,13.1399477263753,3.39870940002039
"Lorenz","ICSpp",0.4,16.3322181380608,27.458226508171,24.4708939942935
"Lorenz","ICSpp",0.5,16.0262388825804,2.091105314235,47.4687629108894
"Lorenz","ICSpp",0.6,1.44115038888912,-9.18344013524105,32.9256015487401
"Lorenz","ICSpp",0.7,-4.92281896801618,-8.27957205510521,27.0659712000076
"Lorenz","ICSpp",0.8,-7.13397464897441,-8.7208024482165,25.3174037056734
"Lorenz","ICSpp",0.9,-8.55219098501097,-9.8183182890977,25.8579364876754
"Lorenz","ICSpp",1,-9.47228755756749,-9.90355460340367,27.7993684351414
"Lorenz","ICSpp",1.1,-9.26416565219896,-8.46513560520737,28.9678349664104
"Lorenz","ICSpp",1.2,-8.20275165884331,-7.09764127204819,28.0764621340336
"Lorenz","ICSpp",1.3,-7.41174009053583,-7.04289503601775,26.2204343914315
"Lorenz","ICSpp",1.4,-7.53953151446567,-8.14238576263954,24.9838178218694
"Lorenz","ICSpp",1.5,-8.47321021614308,-9.6121090605658,25.4009451918481
"Lorenz","ICSpp",1.6,-9.46476793584996,-10.1062934722,27.3984819926246
"Lorenz","ICSpp",1.7,-9.46830932578323,-8.81448828887941,29.0148784249933
"Lorenz","ICSpp",1.8,-8.41593172972453,-7.19085830954932,28.4549460487722
"Lorenz","ICSpp",1.9,-7.43799375838968,-6.85127268891942,26.5426675830459
"Lorenz","ICSpp",2,-7.37134796295055,-7.82259840234354,24.9996576020438
"Lorenz","ICSpp",2.1,-8.2322572159906,-9.39573707816023,25.0424877428084
"Lorenz","ICSpp",2.2,-9.36698534521711,-10.2598921015851,26.9355545393536
"Lorenz","ICSpp",2.3,-9.64128619509107,-9.20951695329989,28.963947671601
"Lorenz","ICSpp",2.4,-8.66441488915843,-7.361418253771,28.8298974506723
"Lorenz","ICSpp",2.5,-7.51137978763122,-6.69400526752139,26.9294055971569
"Lorenz","ICSpp",2.6,-7.22482365805544,-7.48953958432988,25.0971301081213
"Lorenz","ICSpp",2.7,-7.97059487557042,-9.1102896569728,24.7295746849358
"Lorenz","ICSpp",2.8,-9.20758880008852,-10.3316435848302,26.4062949708894
"Lorenz","ICSpp",2.9,-9.77553478954948,-9.6303854371304,28.7878825554522
"Lorenz","ICSpp",3,-8.94547898729415,-7.620739024443,29.1780387295958
"Lorenz","ICSpp",3.1,-7.63986193467131,-6.58431111754274,27.3777146904034
"Lorenz","ICSpp",3.2,-7.10967316691451,-7.15289475196485,25.2842396190778
"Lorenz","ICSpp",3.3,-7.69703144281717,-8.76150366211333,24.4828395931967
"Lorenz","ICSpp",3.4,-8.98561028340243,-10.3029280276484,25.8327932810581
"Lorenz","ICSpp",3.5,-9.85282058005294,-10.0505991156203,28.4671929714908
"Lorenz","ICSpp",3.6,-9.24929738085933,-7.97906524017313,29.4692916692688
"Lorenz","ICSpp",3.7,-7.83045847116478,-6.53890256525661,27.8815154641246
"Lorenz","ICSpp",3.8,-7.03669091974716,-6.82379390473865,25.5680510817591
"Lorenz","ICSpp",3.9,-7.42203337118752,-8.35828044880879,24.3224077590491
"Lorenz","ICSpp",4,-8.7038204599496,-10.1599112724477,25.2444438299347
"Lorenz","ICSpp",4.1,-9.85449351740609,-10.4342852224662,27.9900130666587
"Lorenz","ICSpp",4.2,-9.55996460588152,-8.44151656324213,29.664610342689
"Lorenz","ICSpp",4.3,-8.08897245316381,-6.5786660504175,28.4294241057562
"Lorenz","ICSpp",4.4,-7.01818432556795,-6.51533104288,25.9545036199561
"Lorenz","ICSpp",4.5,-7.15776587693679,-7.91220403727154,24.2673318469436
"Lorenz","ICSpp",4.6,-8.36913540486372,-9.89564605675816,24.676580569262
"Lorenz","ICSpp",4.7,-9.76359265346585,-10.737856647344,27.3572091597691
"Lorenz","ICSpp",4.8,-9.85416557977977,-9.00312977612095,29.7159847921439
"Lorenz","ICSpp",4.9,-8.41843863238331,-6.72928686977799,29.0018798165171
"Lorenz","ICSpp",5,-7.06822492874544,-6.24362775060522,26.4480366868279
"Lorenz","ICSpp",5.1,-6.91826713642705,-7.43702371834634,24.3353678866867
"Lorenz","ICSpp",5.2,-7.99265505975173,-9.51136141525414,24.1683613908147
"Lorenz","ICSpp",5.3,-9.56736172647511,-10.9140146058828,26.5871874669795
"Lorenz","ICSpp",5.4,-10.1004327579741,-9.64216122049102,29.5689496996932
"Lorenz","ICSpp",5.5,-8.81648410658176,-7.02099770868448,29.5665602170821
"Lorenz","ICSpp",5.6,-7.20279531201004,-6.02967462546512,27.0506773111632
"Lorenz","ICSpp",5.7,-6.71983739873183,-6.94830055130358,24.5429856893522
"Lorenz","ICSpp",5.8,-7.58940948424957,-9.01668387964557,23.7601479043213
"Lorenz","ICSpp",5.9,-9.25992985319793,-10.9184151795093,25.7188576253659
"Lorenz","ICSpp",6,-10.2599925152683,-10.3130080820291,29.1696158296364
"Lorenz","ICSpp",6.1,-9.27143823785157,-7.48597533689228,30.0723202555089
"Lorenz","ICSpp",6.2,-7.43943513017973,-5.90214735348273,27.7600398047074
"Lorenz","ICSpp",6.3,-6.58184198762305,-6.46363707219807,24.9056712117351
