"model","ic_id","time","x1","x2"
"Immunity",58,0,2.39397143873037,40.3376923695272
"Immunity",63,0,44.1799831643609,32.4886547878705
"Immunity",71,0.1,26.9348441263147,52.0665895876351
"Immunity",2,0.1,44.1549479389568,31.4825892602444
"Immunity",49,0.1,62.4469062450297,33.1644932967707
"Immunity",33,0.1,10.0346558058117,75.2646461672851
"Immunity",51,0.1,5.46415028383419,36.4811017592631
"Immunity",30,0.2,45.7671446759579,16.1151513348464
"Immunity",70,0.2,29.6914398250052,2.16213397562182
"Immunity",8,0.2,22.9697074981942,24.1776141509657
"Immunity",60,0.2,26.6899826045161,17.5369448244238
"Immunity",51,0.2,5.21959992919127,36.210010276447
"Immunity",7,0.2,49.882478631877,34.5405522271053
"Immunity",17,0.2,14.0047068130131,68.2367338972766
"Immunity",5,0.2,23.1785016302912,40.3086451740265
"Immunity",19,0.2,13.3399024335517,64.2917103049636
"Immunity",4,0.2,4.20407099289997,29.5769990427152
"Immunity",45,0.2,32.4865636396604,21.1990745209407
"Immunity",7,0.3,47.9247787462879,34.294062071953
"Immunity",2,0.3,41.2030901026741,31.0544958634278
"Immunity",69,0.3,56.6363113883854,17.9815531224354
"Immunity",1,0.3,33.1393482037276,1.89542563016902
"Immunity",62,0.3,50.1747735332655,61.3906866719239
"Immunity",21,0.3,9.59263890329082,32.9762701344096
"Immunity",60,0.3,26.3807854062595,17.4658342997591
"Immunity",32,0.3,52.0489076073787,64.6093227205424
"Immunity",71,0.3,23.4467027958879,51.2072735903589
"Immunity",46,0.3,13.8914315804501,50.3153224643943
"Immunity",63,0.4,38.2955600359335,31.599385793483
"Immunity",12,0.4,38.3008100215339,60.5698951440766
"Immunity",44,0.4,49.6362228334666,11.6458123233563
"Immunity",45,0.4,31.3549164741002,20.9825581431041
"Immunity",13,0.4,43.0126497962919,42.477660088746
"Immunity",6,0.4,0.557462740417061,47.3941315074191
"Immunity",38,0.4,23.7482750673939,14.5765427067998
"Immunity",74,0.4,42.9873412178956,5.41367232494539
"Immunity",57,0.4,17.9207669968063,27.2896747454497
"Immunity",1,0.5,33.5878284978428,2.08034589138475
"Immunity",72,0.5,13.0033030630543,64.5666627565468
"Immunity",73,0.5,55.1469933549263,14.6258057318679
"Immunity",54,0.5,49.0514044979033,41.8498729607567
"Immunity",60,0.6,25.4953540999794,17.2567501440806
"Immunity",46,0.6,11.328785714892,49.0836567921749
"Immunity",44,0.6,48.9017318596705,11.631256677342
"Immunity",36,0.6,38.5214197281115,4.97622448724589
"Immunity",19,0.6,9.2174477743851,62.0826246862065
"Immunity",52,0.6,50.7464911529847,45.8463566956665
"Immunity",75,0.6,14.7881431217706,32.1643260347913
"Immunity",10,0.6,1.03083969705418,62.3911379063734
"Immunity",30,0.7,43.1003664556731,15.8483667935355
"Immunity",69,0.7,53.0190267883736,17.6943121834063
"Immunity",74,0.7,43.1012115276383,5.58336888697216
"Immunity",68,0.7,48.4811031807275,23.2285173361523
"Immunity",44,0.7,48.5453457566012,11.6240387062912
"Immunity",49,0.7,49.8026290768116,31.8116270571664
"Immunity",66,0.8,4.76400124397453,38.1487291245609
"Immunity",36,0.8,38.7176243167438,5.09816311433014
"Immunity",6,0.8,0.428520927857451,45.8758801441556
"Immunity",42,0.8,6.4466411709414,18.4737744792635
"Immunity",20,0.8,12.5841220574003,66.8890223027448
"Immunity",38,0.8,23.1203086634344,14.4170715630992
"Immunity",62,0.8,33.1940963994235,58.8065864273586
"Immunity",22,0.9,35.3969392531087,18.4877851358883
"Immunity",21,0.9,7.64765122818985,31.6074736275251
"Immunity",2,0.9,33.8133515661452,29.8197477937446
"Immunity",57,0.9,15.6518030267417,26.4378926115569
"Immunity",4,0.9,3.34058492151434,28.2259701657777
"Immunity",17,0.9,7.05023514066479,64.1503874471363
"Immunity",30,0.9,42.1267223258334,15.7451600985653
"Immunity",52,1,40.3647131596352,44.409312350975
"Immunity",65,1,20.7075775999683,44.8513243044426
"Immunity",55,1,1.87474960037276,51.0939756267996
"Immunity",19,1,6.44570832725041,59.9630693237509
"Immunity",56,1,30.9085637797295,21.9533622052464
"Immunity",20,1,10.3456456679856,65.7189657337729
"Immunity",49,1,44.7975008159716,31.1639824511556
"Immunity",15,1,25.5790111965661,60.9615866873929
"Immunity",64,1,4.603617943434,65.1222466893162
"Immunity",10,1,0.71325746149743,60.2562016599151
"Immunity",36,1,38.9015543339291,5.21760534158873
"Immunity",32,1.1,25.9566119361014,60.276420154719
"Immunity",2,1.1,31.7529143377189,29.4242532884509
"Immunity",72,1.1,7.47745633230106,61.2698639716148
"Immunity",27,1.1,11.4513530756988,16.6620306863159
"Immunity",11,1.1,37.052873167029,8.33145282680571
"Immunity",36,1.1,38.9889840917355,5.27640580244644
"Immunity",29,1.1,11.9650246444215,7.15588343731285
"Immunity",65,1.1,19.5451488011321,44.4942750835686
"Immunity",23,1.1,60.1275821438216,8.96234148606827
"Immunity",35,1.1,40.5163670392126,32.8846063385383
"Immunity",8,1.1,18.9678859247277,22.9600249558444
"Immunity",52,1.2,36.127673013323,43.7117058176066
"Immunity",58,1.2,1.30184435976408,36.8045305071938
"Immunity",59,1.2,16.122345804453,2.90929791097898
"Immunity",31,1.2,17.0955592479702,55.7468213474872
"Immunity",43,1.2,10.168454716038,59.9103249918187
"Immunity",63,1.2,29.3354232143829,29.9232118926768
"Immunity",22,1.2,33.9543492653499,18.2495898278143
"Immunity",14,1.2,20.7931294691277,45.511629085609
"Immunity",33,1.3,2.72457889113714,67.6008223121103
"Immunity",48,1.3,20.8688912215128,54.197244532675
"Immunity",8,1.3,18.2209836649152,22.7042770539281
"Immunity",10,1.3,0.546371302249911,58.7127557766085
"Immunity",5,1.3,13.7419752862076,37.0731202893923
"Immunity",69,1.3,48.391297588297,17.2830275467494
"Immunity",80,1.3,2.93777738974274,32.8672063588741
"Immunity",38,1.3,22.3964520100108,14.2265940058868
