"model","ic_id","time","x1","x2"
"Bacterial",1,0,2.0910838703037,0.100847952149389
"Bacterial",1,0.1,2.03319284997944,0.0977090003686174
"Bacterial",1,0.2,1.97587693596414,0.0946092522195431
"Bacterial",1,0.3,1.91915756277342,0.0915498747245497
"Bacterial",1,0.4,1.8630456401696,0.0885314603121093
"Bacterial",1,0.5,1.80756276078708,0.0855551805284203
"Bacterial",1,0.6,1.75272643121305,0.0826219835027198
"Bacterial",1,0.7,1.6985551518481,0.0797328716648614
"Bacterial",1,0.8,1.64506783897499,0.076888871832003
"Bacterial",1,0.9,1.59228379302878,0.0740910356324965
"Bacterial",1,1,1.54022262535344,0.071340438149138
"Bacterial",1,1.1,1.48890424763235,0.0686381809838745
"Bacterial",1,1.2,1.43834883222078,0.0659853947872536
"Bacterial",1,1.3,1.38857676049659,0.0633832425230397
"Bacterial",1,1.4,1.33960856627672,0.060832924267318
"Bacterial",1,1.5,1.29146487106017,0.05833568387318
"Bacterial",1,1.6,1.24416631088901,0.0558928181008882
"Bacterial",1,1.7,1.1977334526188,0.0535056893440664
"Bacterial",1,1.8,1.15218670719664,0.0511757417308843
"Bacterial",1,1.9,1.10754621759244,0.0489045259116117
"Bacterial",1,2,1.06383175519281,0.0466937286209056
"Bacterial",1,2.1,1.02106259950406,0.0445452139822661
"Bacterial",1,2.2,0.979257405490993,0.0424610792409468
"Bacterial",1,2.3,0.938434065786195,0.0404437283773445
"Bacterial",1,2.4,0.898609564979177,0.0384959702512695
"Bacterial",1,2.5,0.85979982794043,0.0366211491248257
"Bacterial",1,2.6,0.822019564233703,0.0348233180699523
"Bacterial",1,2.7,0.785282111129763,0.033107469198261
"Bacterial",1,2.8,0.749599278357119,0.0314798391487218
"Bacterial",1,2.9,0.714981198398937,0.0299483141788205
"Bacterial",1,3,0.681436186883739,0.0285229668969009
"Bacterial",1,3.1,0.648970618407885,0.0272167665754709
"Bacterial",1,3.2,0.617588823956811,0.0260465175163978
"Bacterial",1,3.3,0.587293016934122,0.0250340953914787
"Bacterial",1,3.4,0.558083255616352,0.024208069770711
"Bacterial",1,3.5,0.529957450542727,0.0236058212323895
"Bacterial",1,3.6,0.502911425773986,0.0232762808520117
"Bacterial",1,3.7,0.476939042851799,0.0232834325995995
"Bacterial",1,3.8,0.452032395219733,0.0237107137401384
"Bacterial",1,3.9,0.428182078113646,0.0246664041627196
"Bacterial",1,4,0.40537753340016,0.0262899788176495
"Bacterial",1,4.1,0.383607459002807,0.0287591578797286
"Bacterial",1,4.2,0.362860256554958,0.0322969634084133
"Bacterial",1,4.3,0.343124467173515,0.0371774229162009
"Bacterial",1,4.4,0.324389113924012,0.0437276557467794
"Bacterial",1,4.5,0.306643835318521,0.0523231117718055
"Bacterial",1,4.6,0.289878669655535,0.0633721752832875
"Bacterial",1,4.7,0.274083360973237,0.0772871085216574
"Bacterial",1,4.8,0.259246130249308,0.0944411746663874
"Bacterial",1,4.9,0.245351953634298,0.115116005144632
"Bacterial",1,5,0.232380700578471,0.139452334829248
"Bacterial",1,5.1,0.220305542356643,0.167416754185254
"Bacterial",1,5.2,0.209092085784012,0.198796005537181
"Bacterial",1,5.3,0.198698513265227,0.233221719649713
"Bacterial",1,5.4,0.189076744226485,0.270217841335744
"Bacterial",1,5.5,0.180174311609655,0.309256632706835
"Bacterial",1,5.6,0.171936530592201,0.349809871771912
"Bacterial",1,5.7,0.164308565001951,0.391386951560097
"Bacterial",1,5.8,0.157237130085114,0.433557593753594
"Bacterial",1,5.9,0.150671722139853,0.475961155816036
"Bacterial",1,6,0.144565384442038,0.518306362016237
"Bacterial",1,6.1,0.138875084882583,0.560365336635192
"Bacterial",1,6.2,0.133561803363211,0.601964981461186
"Bacterial",1,6.3,0.128590422275487,0.642977714376588
"Bacterial",1,6.4,0.123929496367189,0.683312720196619
"Bacterial",1,6.5,0.119550958571152,0.722908257609976
"Bacterial",1,6.6,0.115429800740103,0.761725191666169
"Bacterial",1,6.7,0.111543754351177,0.799741716553422
"Bacterial",1,6.8,0.107872986148396,0.8369491376395
"Bacterial",1,6.9,0.104399816759321,0.87334854944172
"Bacterial",1,7,0.101108465788727,0.908948247412067
"Bacterial",1,7.1,0.0979848240692028,0.943761728110164
"Bacterial",1,7.2,0.0950162520915934,0.977806154389279
"Bacterial",1,7.3,0.0921914027476154,1.01110118444097
"Bacterial",1,7.4,0.0895000661127405,1.04366808356868
"Bacterial",1,7.5,0.0869330338901837,1.07552905456479
"Bacterial",1,7.6,0.0844819812020593,1.10670673649967
"Bacterial",1,7.7,0.0821393635716428,1.13722383289503
"Bacterial",1,7.8,0.0798983271414115,1.16710283906515
"Bacterial",1,7.9,0.0777526303850876,1.19636584529749
"Bacterial",1,8,0.0756965757809192,1.22503439789339
"Bacterial",1,8.1,0.073724950108605,1.25312940422635
"Bacterial",1,8.2,0.0718329722092507,1.28067107116736
"Bacterial",1,8.3,0.0700162472051542,1.30767886868598
"Bacterial",1,8.4,0.0682707263144134,1.3341715123291
"Bacterial",1,8.5,0.0665926715155626,1.36016695973796
"Bacterial",1,8.6,0.0649786244213772,1.38568241748701
"Bacterial",1,8.7,0.0634253788104563,1.41073435539431
"Bacterial",1,8.8,0.0619299563419903,1.43533852612066
"Bacterial",1,8.9,0.0604895850449377,1.45950998839075
"Bacterial",1,9,0.0591016802291791,1.48326313256708
"Bacterial",1,9.1,0.057763827514442,1.5066117076155
"Bacterial",1,9.2,0.0564737677140724,1.52956884873857
"Bacterial",1,9.3,0.0552293833460878,1.5521471051368
