"model","ic_id","time","x1","x2","x3","x4","x5","x6","x7"
"Glycolysis","ICSpp",0,0.5,0.2,1.1,0.8,0.5,0.4,0.1
"Glycolysis","ICSpp",0.1,0.634519667949983,0.26186639918838,0.09693339608463,0.181941629808155,0.742067195464549,2.3050443001186,0.059054883095203
"Glycolysis","ICSpp",0.2,0.841453014490245,0.215910982285618,0.0564149080786829,0.20720076202682,1.04015655358976,2.30166377765646,0.0583762013457196
"Glycolysis","ICSpp",0.3,1.03075094841914,0.216274907205698,0.0475610806711445,0.283203190332229,1.45481548612622,2.17867024463985,0.04394862668241
"Glycolysis","ICSpp",0.4,1.19281298802693,0.257509607929393,0.0488787675213514,0.394578680761301,2.03425592621819,2.02245597059071,0.0360679931570705
"Glycolysis","ICSpp",0.5,1.31773126670309,0.337159088133684,0.0578035007693206,0.551033550993906,2.84433742327987,1.87082867780118,0.033336855094554
"Glycolysis","ICSpp",0.6,1.40033475038274,0.445641809876501,0.0723383839036744,0.769960255485225,3.97692370489361,1.758361817755,0.0316937274789993
"Glycolysis","ICSpp",0.7,1.45142920867154,0.551965495125644,0.0891122057201326,1.07591950927501,5.56040958581592,1.72450669251211,0.0285513819970406
"Glycolysis","ICSpp",0.8,1.50210174431413,0.608204574010879,0.102850962267725,1.50320675852245,7.77425511742418,1.79546326860011,0.0230257113822099
"Glycolysis","ICSpp",0.9,1.57939628722681,0.59647725792328,0.10954176030215,2.10028677949425,10.8693301665688,1.94103712845604,0.01649626702847
"Glycolysis","ICSpp",1,1.68481281536047,0.546540617036565,0.109404765483414,2.9351683789642,15.1964164479239,2.09077165227402,0.0109641702569097
"Glycolysis","ICSpp",1.1,1.80652275729573,0.494197363981064,0.105255606151227,4.10256127460848,21.2459676628749,2.19652166807164,0.0071462892307859
"Glycolysis","ICSpp",1.2,1.93301393519783,0.458203103381305,0.1001760461013,5.73468445580837,29.7036323725758,2.24740269880565,0.00475776110603486
"Glycolysis","ICSpp",1.3,2.055904032576,0.443945637133419,0.0965048514181428,8.01651328165642,41.5279418941852,2.25332516759229,0.00330387902240865
"Glycolysis","ICSpp",1.4,2.16949253791227,0.450211268983771,0.0955107501449889,11.2067981645383,58.0591013360519,2.23139520228975,0.00239840982291686
"Glycolysis","ICSpp",1.5,2.27058497858401,0.472448030120352,0.0974441900229947,15.6672912433442,81.1707677409717,2.19957111352225,0.00180268095288686
"Glycolysis","ICSpp",1.6,2.35890435457552,0.503675316787814,0.10178360294417,21.9036900575539,113.482466547226,2.17388301587917,0.00137569355473765
"Glycolysis","ICSpp",1.7,2.43741081722982,0.53516961893411,0.107512883246074,30.6229655356806,158.65662682895,2.1663861285243,0.00104623024602628
"Glycolysis","ICSpp",1.8,2.51154928061141,0.558510048480078,0.11341456362538,42.8133160007345,221.812881956096,2.18273269184533,0.00078299141964423
"Glycolysis","ICSpp",1.9,2.58708413562915,0.568787951902698,0.118415600261547,59.8566011085761,310.110644863479,2.220401401025,0.000569489208641575
"Glycolysis","ICSpp",2,2.66774396347776,0.566508697869967,0.121892303219471,83.6841742174521,433.55633806652,2.27002429885034,0.000405846833131424
"Glycolysis","ICSpp",2.1,2.75430063548516,0.556397742304587,0.1237837602386,116.996897259538,606.143138241093,2.3199972724746,0.000285256383526666
"Glycolysis","ICSpp",2.2,2.84526765703865,0.54435470627245,0.12448257000331,163.570275352658,847.43164844217,2.36133909709239,0.000199601163656883
"Glycolysis","ICSpp",2.3,2.93815621386412,0.53503481309696,0.124609897204273,228.682855070769,1184.76930150495,2.3899415346677,0.000140336324522463
"Glycolysis","ICSpp",2.4,3.03046101781569,0.530957298770043,0.124790648464109,319.715187201646,1656.39351014577,2.40620584953899,9.9605640154033e-05
"Glycolysis","ICSpp",2.5,3.12023792995623,0.532628585315063,0.125489680524945,446.984578980658,2315.75643830114,2.41348716032699,7.21800039709253e-05
"Glycolysis","ICSpp",2.6,3.2063868531621,0.539043463542117,0.126932844056344,624.916364677917,3237.59325482536,2.41641683132294,5.1495707860518e-05
"Glycolysis","ICSpp",2.7,3.28872944588136,0.548264327127668,0.129107846774446,873.678189393898,4526.38911663148,2.41952071350757,3.76492197320348e-05
"Glycolysis","ICSpp",2.8,3.3678986899221,0.558022252161794,0.131820811995023,1221.46425330738,6328.21355739454,2.4262076395031,2.7409254191839e-05
"Glycolysis","ICSpp",2.9,3.44504689213624,0.566318557704291,0.134782685234623,1707.69569035683,8847.30112732271,2.43816559226989,1.98967459178319e-05
"Glycolysis","ICSpp",3,3.52144182294169,0.571914158416412,0.137700127788142,2387.4779710768,12369.1444922021,2.45524291360691,1.43434146288238e-05
"Glycolysis","ICSpp",3.1,3.59808765498204,0.574548349926363,0.140349568861556,3337.86159585427,17292.9300652699,2.47583765939486,1.03397299481632e-05
"Glycolysis","ICSpp",3.2,3.67550418296685,0.574815434852973,0.142618159015585,4666.56503220749,24176.7301245924,2.49764286516882,7.38365528389232e-06
"Glycolysis","ICSpp",3.3,3.7537046076417,0.573798282599365,0.144508617392747,6524.20043231181,33800.8422743611,2.51845340131526,5.28607136674858e-06
"Glycolysis","ICSpp",3.4,3.83232498627611,0.572644920427152,0.146113561707567,9121.30751797759,47256.0392623591,2.536750555527,3.76683665732087e-06
"Glycolysis","ICSpp",3.5,3.9108185354669,0.572245486761265,0.147573110800747,12752.233575484,66067.2874125762,2.55193823406007,2.69244978795617e-06
"Glycolysis","ICSpp",3.6,3.98863884259256,0.573075799607517,0.149030221614689,17828.5520547725,92366.8830515514,2.56426208184731,1.92862851191606e-06
