"model","ic_id","time","x1","x2","x3"
"Lorenz",1,3.5,-9.285521731456,-10.3434208173176,26.6023990776316
"Lorenz",1,3.6,-9.74965067794581,-9.48576396389458,28.8983542443521
"Lorenz",1,3.7,-8.84080026008299,-7.49505133347964,29.0817334004419
"Lorenz",1,3.8,-7.56989423079364,-6.59055824023265,27.2033880197809
"Lorenz",1,3.9,-7.1276812261152,-7.25939434374236,25.1762011465679
"Lorenz",1,4,-7.78753156170748,-8.90064948452807,24.5271798638499
"Lorenz",1,4.1,-9.08188776290653,-10.3529224470523,26.0298631820694
"Lorenz",1,4.2,-9.85203962580319,-9.9193921403704,28.6266485321775
"Lorenz",1,4.3,-9.14407866040152,-7.82243039072241,29.4049663358496
"Lorenz",1,4.4,-7.74007063103773,-6.51749471496548,27.6971775448072
"Lorenz",1,4.5,-7.03611235395406,-6.91993995235223,25.4287548983567
"Lorenz",1,4.6,-7.50628201610653,-8.50795494424903,24.3298865336661
"Lorenz",1,4.7,-8.81529534770788,-10.2491479086893,25.4304810735552
"Lorenz",1,4.8,-9.88343645344386,-10.3298841224106,28.196805073765
"Lorenz",1,4.9,-9.46133040593254,-8.25623961911782,29.6454852340339
"Lorenz",1,5,-7.97816703286185,-6.52333488802758,28.241583132516
"Lorenz",1,5.1,-6.99559964463014,-6.59643266454053,25.784458817711
"Lorenz",1,5.2,-7.23140519000171,-8.06699436626791,24.2339324584923
"Lorenz",1,5.3,-8.49139463113246,-10.0222267094238,24.838992996117
"Lorenz",1,5.4,-9.82529546760257,-10.6743281059535,27.6043614389702
"Lorenz",1,5.5,-9.77122703547883,-8.79595738590278,29.7565225753022
"Lorenz",1,5.6,-8.28870582326134,-6.63296104146033,28.8199780747931
"Lorenz",1,5.7,-7.0200512429208,-6.30413563317826,26.2486356532429
"Lorenz",1,5.8,-6.97662597178243,-7.5911904541222,24.258076723456
"Lorenz",1,5.9,-8.12016761553831,-9.67048123582609,24.2948301835383
"Lorenz",1,6,-9.66244822996772,-10.9041208838205,26.8614257897195
"Lorenz",1,6.1,-10.0440325228293,-9.42626310187623,29.6829150313801
"Lorenz",1,6.2,-8.67182144473893,-6.87655881754964,29.4043777661003
"Lorenz",1,6.3,-7.12546061997194,-6.06269838993242,26.8246665023984
"Lorenz",1,6.4,-6.75795320987659,-7.09597336016132,24.419906245732
